,algorithm,error_type_I,error_type_II,missing_data_percentage,true_negatives,true_positives
0,K-Means,17.55,12.55,5,179.45,24.45
1,Fuzzy_C_Means,14.75,15.15,5,182.25,21.85
2,DBSCAN_Center,8.1,26.2,5,188.9,10.8
3,Affinity_Propagation,18.4,11.5,5,178.6,25.5
4,GMM,7.55,32.8,5,189.45,4.2
5,G_Means,15.75,12.25,5,181.25,24.75
6,K-Means,17.9,15.0,7,179.1,22.0
7,Fuzzy_C_Means,16.05,17.25,7,180.95,19.75
8,DBSCAN_Center,10.95,28.1,7,186.05,8.9
9,Affinity_Propagation,19.05,12.6,7,177.95,24.4
10,GMM,10.65,25.65,7,186.35,11.35
11,G_Means,13.4,20.5,7,183.6,16.5
12,K-Means,19.8,14.9,10,177.2,22.1
13,Fuzzy_C_Means,14.3,23.15,10,182.7,13.85
14,DBSCAN_Center,15.2,24.4,10,181.8,12.6
15,Affinity_Propagation,21.3,13.6,10,175.7,23.4
16,GMM,13.95,23.75,10,183.05,13.25
17,G_Means,13.5,22.95,10,183.5,14.05
18,K-Means,11.05,35.1,15,185.95,1.9
19,Fuzzy_C_Means,10.1,36.35,15,186.9,0.65
20,DBSCAN_Center,14.65,34.95,15,182.35,2.05
21,Affinity_Propagation,11.8,34.85,15,185.2,2.15
22,GMM,10.15,35.9,15,186.85,1.1
23,G_Means,8.95,36.1,15,188.05,0.9
24,K-Means,10.7,33.45,20,186.3,3.55
25,Fuzzy_C_Means,10.05,34.35,20,186.95,2.65
26,DBSCAN_Center,21.9,32.7,20,175.1,4.3
27,Affinity_Propagation,11.15,33.65,20,185.85,3.35
28,GMM,11.75,35.6,20,185.25,1.4
29,G_Means,8.5,35.2,20,188.5,1.8
30,K-Means,10.75,29.45,25,186.25,7.55
31,Fuzzy_C_Means,8.65,34.7,25,188.35,2.3
32,DBSCAN_Center,16.55,29.8,25,180.45,7.2
33,Affinity_Propagation,10.3,30.15,25,186.7,6.85
34,GMM,9.7,35.4,25,187.3,1.6
35,G_Means,7.3,32.85,25,189.7,4.15
36,K-Means,10.3,32.2,35,186.7,4.8
37,Fuzzy_C_Means,9.3,32.95,35,187.7,4.05
38,DBSCAN_Center,27.0,28.2,35,170.0,8.8
39,Affinity_Propagation,10.4,30.95,35,186.6,6.05
40,GMM,9.95,34.5,35,187.05,2.5
41,G_Means,6.35,34.15,35,190.65,2.85
42,K-Means,8.9,33.25,50,188.1,3.75
43,Fuzzy_C_Means,9.0,32.05,50,188.0,4.95
44,DBSCAN_Center,148.55,2.85,50,48.45,34.15
45,Affinity_Propagation,10.45,31.95,50,186.55,5.05
46,GMM,9.2,31.3,50,187.8,5.7
47,G_Means,7.55,34.0,50,189.45,3.0
48,K-Means,8.6,34.0,60,188.4,3.0
49,Fuzzy_C_Means,9.05,34.2,60,187.95,2.8
50,DBSCAN_Center,141.6,4.55,60,55.4,32.45
51,Affinity_Propagation,9.85,33.05,60,187.15,3.95
52,GMM,9.05,34.45,60,187.95,2.55
53,G_Means,7.1,34.7,60,189.9,2.3
54,K-Means,10.9,32.45,70,186.1,4.55
55,Fuzzy_C_Means,9.25,33.75,70,187.75,3.25
56,DBSCAN_Center,138.2,5.05,70,58.8,31.95
57,Affinity_Propagation,10.5,32.9,70,186.5,4.1
58,GMM,8.55,34.75,70,188.45,2.25
59,G_Means,6.75,34.6,70,190.25,2.4
60,K-Means,9.15,34.15,80,187.85,2.85
61,Fuzzy_C_Means,9.0,34.0,80,188.0,3.0
62,DBSCAN_Center,191.8,0.0,80,5.2,37.0
63,Affinity_Propagation,9.75,32.6,80,187.25,4.4
64,GMM,8.55,34.35,80,188.45,2.65
65,G_Means,7.15,34.75,80,189.85,2.25
